# Boss直聘 历史已沟通公司清单 (boss_greet.js 自动追加,可手动编辑)
# 每行格式: [时间] | 公司名 | 岗位名
# 公司名是过滤关键(对应推荐页的 tv_company_name)
# 以 # 开头或不含 " | " 的行会被脚本忽略
#
[2026-05-22 15:34] | 达达辛巴达 | AI coding技术专家
[2026-05-22 23:43] | 广州墨斗信息科技 | AI Coding 全栈工程师
[2026-05-22 23:43] | 广州好惠送 | AI全栈开发工程师/Vibe Coding 工程师
[2026-05-22 23:49] | 喜趣科技 | AI/Claude 全栈工程师
[2026-05-22 23:49] | 佛山市绎间科技 | AI开发工程师（ClaudeCode方向）
[2026-05-23 12:18] | 广州丝路华商管理服务 | 全能全栈工程师（跨境中台）
[2026-05-23 12:19] | 朋克未来 | ai应用搭建工程师（Codex/ClaudeCode）
[2026-05-23 21:21] | 广东盛基国际 | (OCR-Boss已记得)
[2026-05-23 14:14] | 瀚昇智能 | 全栈工程师 (14:14 手动/早先发的)
[2026-05-23 21:17] | 宁远县中立电子商 | PHP 后端开发(loop 轮1 真发)
[2026-05-23 21:18] | 东莞创意商务咨询 | Python(loop 轮2 真发)
[2026-05-23 21:18] | 百姓烟火食品有限公司 | 全栈工程师(loop 轮3 真发)
[2026-05-23 21:20] | 广东盛基国际 | 全栈工程师(loop 轮6 真发,轮7 已被脚本写入)
[2026-05-24 01:10] | 美纶 | (OCR-已发,com.hpbr.bosszhipin/com.hpbr.bosszhipin.chat.single.activity.ChatRoomActivity)
[2026-05-24 01:11] | 东莞市她创联科� | (OCR-已发,com.hpbr.bosszhipin/com.hpbr.bosszhipin.chat.single.activity.ChatRoomActivity)
